Date,Company,GSVI,GSVI_lag1,AGSVI,R,R_lag1,Volatility,Volume_lag1,Volume,Mkt_RF,SMB,HML,RMW,CMA
04-03-2019,ADBE,21,51,-0.019418086,-0.01658888,-0.009256037,8.56742E-05,7521100,176274300,-2.58,-0.44,1.01,0.04,0.78
04-03-2019,ADI,40,29,-0.296265816,0.003174625,0.031705226,0.001005221,8746100,21544300,0.08,1.16,2.63,0.14,0.39
04-03-2019,ADP,11,5,-0.470003629,0.019273286,-0.031274726,0.000978108,12767000,7165000,0.35,-0.27,-0.45,-0.17,-0.36
04-03-2019,ADSK,23,82,0.037271395,0.01881054,0.064250241,0.004128093,11186900,291205000,0.02,-0.48,-2.72,-0.29,-0.8
04-03-2019,AEP,38,54,0.182321557,-0.055670151,-0.032013847,0.001024886,7259500,15325200,-0.02,-0.02,-0.03,0,0
04-03-2019,ALGN,9,5,-0.182321557,0.030883004,-0.016324408,0.000266486,9628700,4149100,-1.29,0.19,0.94,-0.77,0.37
04-03-2019,AMAT,16,65,0,-0.055033461,-0.035034502,0.001227416,14946900,220635900,-1.22,-0.87,1.93,0.51,1.25
04-03-2019,AMD,32,27,-0.036367644,-0.002562227,0.037621949,0.001415411,6245800,16162400,0,0,-0.01,0,-0.01
04-03-2019,AMGN,37,0,0,0.085377383,0,0,13211300,12118900,0.9,0.82,-1.01,-0.23,-0.44
04-03-2019,AMZN,22,57,-0.100083459,0.045516875,-0.074598046,0.005564868,528026800,30670100,-2.58,-0.44,1.01,0.04,0.78
04-03-2019,ANSS,68,28,0.036367644,0.020604288,0.051380803,0.002639987,3661800,5210600,0.08,1.16,2.63,0.14,0.39
04-03-2019,ASML,44,56,-0.068992871,0.002195223,-0.009589571,9.19599E-05,10370900,9977800,0.35,-0.27,-0.45,-0.17,-0.36
04-03-2019,ATVI,24,68,0.014815086,-0.033446678,0.137654929,0.018948879,670091600,31090400,0.02,-0.48,-2.72,-0.29,-0.8
04-03-2019,BIDU,75,36,0.287682072,-0.027745881,-0.056157852,0.003153704,8347700,11677700,-0.02,-0.02,-0.03,0,0
04-03-2019,BIIB,52,51,-0.257829109,0.059202162,0.022314372,0.000497931,9437100,7018100,-1.29,0.19,0.94,-0.77,0.37
04-03-2019,BKNG,49,71,-0.013986242,-0.063020268,0.001806748,3.26434E-06,548575100,30756200,-1.22,-0.87,1.93,0.51,1.25
04-03-2019,CDNS,70,50,0.544727175,-0.01507411,-0.089041108,0.007928319,5872800,7325800,0,0,-0.01,0,-0.01
04-03-2019,CDW,41,0,0,0.071753005,0,0,14165100,17120500,0.9,0.82,-1.01,-0.23,-0.44
04-03-2019,CERN,34,50,0,-0.006694816,0.006840886,4.67977E-05,4667900,28368900,-2.58,-0.44,1.01,0.04,0.78
04-03-2019,CHKP,36,77,0.15415068,-0.076118428,0.009019155,8.13452E-05,4826900,5047300,0.08,1.16,2.63,0.14,0.39
04-03-2019,CHTR,55,47,0.021506205,0.012883068,-0.011408586,0.000130156,12554500,13047200,0.35,-0.27,-0.45,-0.17,-0.36
04-03-2019,CMCSA,41,35,-0.133531393,-0.05439858,0.030121884,0.000907328,4783800,5046400,0.02,-0.48,-2.72,-0.29,-0.8
04-03-2019,COST,40,70,-0.014184635,-0.031165216,-0.008331059,6.94065E-05,3939700,2505500,-0.02,-0.02,-0.03,0,0
